FACILTOTSCP,UPTAENM,X,Y,target,label
15.05,기타,205882.919,448966.4888,1,0
15.06,커피숍,202831.9295,451207.5019,1,1
15.07,한식,203160.7563,444575.2154,0,0
15.07,분식,207546.1615,453609.0087,0,0
15.08,분식,195264.3055,442361.5591,0,0
15.09,한식,202924.7419,444359.9812,1,0
15.1,기타,194061.444,450886.9675,1,0
15.1,기타,209412.1978,443928.7833,1,0
15.1,기타 휴게음식점,185330.9308,448338.9128,1,1
15.11,한식,194430.2354,445836.9936,0,0
15.11,일식,205953.0437,459822.6089,0,0
15.11,일반조리판매,194430.2354,445836.9936,0,1
15.12,한식,208002.2532,450431.7311,1,0
15.12,호프/통닭,202407.9174,461818.5748,1,0
15.12,호프/통닭,205234.6059,456358.4026,1,0
15.12,기타,191950.7821,450345.7481,1,0
15.12,커피숍,194798.1565,445678.2115,1,1
15.12,커피숍,197324.3019,452951.1541,1,1
15.13,한식,199149.4531,448743.1365,1,0
15.13,한식,195880.3799,441617.9535,0,0
15.13,분식,203160.7563,444575.2154,0,0
15.14,기타,209074.9008,445657.8093,0,0
15.14,기타 휴게음식점,209074.9008,445657.8093,0,1
15.15,호프/통닭,193152.9533,450583.5353,1,0
15.15,호프/통닭,199214.827,451000.056,0,0
15.15,호프/통닭,199214.827,451000.056,1,0
15.15,기타 휴게음식점,198618.4187,449183.5295,1,1
15.15,일반조리판매,198660.1647,450979.1222,1,1
15.15,기타 휴게음식점,209550.3533,441162.4639,0,1
15.18,경양식,203806.2037,449125.3589,1,0
15.18,경양식,191152.4326,438865.1607,1,0
15.18,기타 휴게음식점,209691.3904,445314.1451,0,1
15.19,호프/통닭,192681.8985,453942.0023,1,0
15.19,패스트푸드,186301.8755,450896.9925,1,1
15.19,커피숍,200462.6152,452715.0176,1,1
15.2,일식,195094.9225,450648.901,1,0
15.2,한식,203711.5725,444265.1597,1,0
15.2,한식,190931.0009,451427.7221,0,0
15.2,패스트푸드,188177.06,444088.7465,0,1
15.2,백화점,208589.3633,445455.9041,1,1
15.2,커피숍,190005.1325,445250.5389,1,1
15.2,일반조리판매,182524.8238,451438.2509,1,1
15.21,분식,198047.5739,446202.365,0,0
15.22,커피숍,210045.7483,442930.6873,1,1
15.23,기타,212093.6092,448309.1974,0,0
15.24,기타 휴게음식점,207373.5002,445545.656,0,1
15.24,커피숍,212093.6092,448309.1974,0,1
15.25,커피숍,189199.5865,448111.7082,1,1
15.26,출장조리,211983.5958,449626.7405,1,0
15.26,커피숍,195146.0946,445686.873,1,1
15.28,기타,201442.039,451619.8455,1,0
15.3,분식,207229.4001,442039.0775,1,0
15.3,한식,191449.8352,440389.5165,1,0
15.3,한식,191262.0039,452422.5832,0,0
15.3,기타 휴게음식점,197557.6385,449064.7252,1,1
15.3,패스트푸드,207229.4001,442039.0775,0,1
15.3,일반조리판매,202466.8011,456227.5717,0,1
15.3,기타 휴게음식점,205391.0704,458333.9892,0,1
15.3,백화점,188472.7592,447091.856,0,1
15.31,호프/통닭,192208.5123,450691.3851,1,0
15.31,한식,202803.1376,443189.8235,1,0
15.31,분식,211986.2972,446156.5298,1,0
15.33,한식,209289.9813,444807.8162,0,0
15.33,기타 휴게음식점,,,1,1
15.35,경양식,209289.9813,444807.8162,0,0
15.39,커피숍,205871.3858,462090.7183,1,1
15.4,한식,200630.9651,447969.6279,1,0
15.4,한식,199448.513,444800.5508,1,0
15.4,커피숍,194625.1229,445440.6507,1,1
15.42,커피숍,210986.4607,441725.2935,1,1
15.43,커피숍,200002.9527,451823.5325,1,1
15.44,한식,205255.0884,443524.5999,0,0
15.44,커피숍,201393.0382,460991.4346,0,1
15.44,커피숍,193708.2543,442276.9011,0,1
15.45,다방,206788.0486,455850.9356,1,1
15.45,편의점,201257.8079,454526.2755,1,1
15.47,호프/통닭,201710.2942,457571.5094,1,0
15.48,기타,198765.3841,449175.0638,1,0
15.48,커피숍,202088.5223,452350.8345,1,1
15.49,일반조리판매,200573.6413,451621.0365,1,1
15.5,분식,199272.3503,450950.1703,1,0
15.5,한식,208394.4164,448165.28,1,0
15.5,기타 휴게음식점,199272.3503,450950.1703,0,1
15.5,기타 휴게음식점,,,1,1
15.5,기타 휴게음식점,210986.4607,441725.2935,1,1
15.5,일반조리판매,203518.4414,453051.7394,1,1
15.5,커피숍,191267.1952,451555.668,1,1
15.5,일반조리판매,192690.6401,459181.7038,1,1
15.5,커피숍,197244.1831,443408.5986,1,1
15.5,백화점,193592.0004,447092.6294,0,1
15.51,기타,191391.9582,451397.6713,1,0
15.51,기타,203993.9639,446681.0118,1,0
15.51,기타,208589.3633,445455.9041,1,0
15.51,일반조리판매,182974.8501,450419.6846,1,1
15.53,분식,205265.0059,444011.3593,1,0
15.53,분식,198068.9268,452087.0302,1,0
15.53,일식,208805.0425,444931.8403,0,0
15.53,커피숍,205367.3613,444584.9964,1,1
